sl_no,city,hospital_name,address,phone,email,empanelled_for,empanelment_date,payment_notes
376,New Delhi,Saroj Superspeciality Hospital (Formerl,"Ph: 011-26140058,09810014747, E-Mail: entdelhi@gmail.com, Hospital & Heart Institute), Plot No.2, Institutional Area, Sec 14 E, Near Madhuban Chowk, Rohini, N. Delhi 1, Tel: 011-2790 3333/ 4790 3333, Fax: 011-2756 6683, 2755 6275, Email: info@sarojhospital.com, SMH-Curie Cancer Centre, Shanti Mukund Hospital, #2, Institution","011-26140058,09810014747; 011-2790 3333/ 4790 3333                                                         06; 011-2756 6683, 2755 6275",entdelhi@gmail.com; info@sarojhospital.com,"treatment y Saroj xtension, Total facilities of the hospital 10085. modified on (OPD & Indoor) al Area, Single Speciality –",23.10.2015,
377,New Delhi,SMH-Curie Cancer Centre,"Tel: 011-2790 3333/ 4790 3333, Fax: 011-2756 6683, 2755 6275, Email: info@sarojhospital.com, Shanti Mukund Hospital, #2, Institution, Vikas Marg Extn., Karkardooma, N. Delhi, Tel: 011-3366 9999/ 4300 6000/ 4301 600, Mobile: +91-9891254975; Fax: 011-3991 1, Email: arvind@hcgoncology.com, Centre for Sight, B-5/24, Safdarjung Enclave, New Delhi 1, Tel: 011-4573 8888/ 4164 4000; Fax: 416, Mobile: +91-9650394499; 8826703470, Email: dhiraj.singh@centreforsight.net, Fortis Escorts Heart Institute & Resear, Okhla Road, New Delhi 110025.","011-2790 3333/ 4790 3333                                                         06; 011-2756 6683, 2755 6275; 011-3366 9999/ 4300 6000/ 4301 6000; 011-3991 1060; 011-4573 8888/ 4164 4000; 4165 1744",info@sarojhospital.com; dhiraj.singh@centreforsight.net; arvind@hcgoncology.com,"(OPD & Indoor) al Area, Single Speciality – 110092. ONCOLOGY 0 (OPD & Indoor) 060 10029. Single Speciality – 5 1744 Ophthalmology (EYE) (OPD & Indoor) ch Centre",06.01.2017,
379,New Delhi,Centre for Sight,"B-5/24, Safdarjung Enclave, New Delhi 1, Tel: 011-4573 8888/ 4164 4000; Fax: 416, Mobile: +91-9650394499; 8826703470, Email: dhiraj.singh@centreforsight.net, Fortis Escorts Heart Institute & Resear, Okhla Road, New Delhi 110025., Tel: 011-4713 5000/ 4164 4000; Fax: 268, Mobile: +91-9650394499; 8826703470, Email: fehi@fortishealthcare.com, contactus.escorts@fortishealthc, Fortis Hospital",011-4573 8888/ 4164 4000; 4165 1744; 011-4713 5000/ 4164 4000; 2682 5013,fehi@fortishealthcare.com; contactus.escorts@fortishealthcare.com; dhiraj.singh@centreforsight.net,10029. Single Speciality – 5 1744 Ophthalmology (EYE) (OPD & Indoor) ch Centre 2 5013 Total facilities of the hospital (OPD & Indoor) are.com,06.10.2016,
380,New Delhi,Fortis Hospital,"Mobile: +91-9650394499; 8826703470, Email: fehi@fortishealthcare.com, contactus.escorts@fortishealthc, A Block, Shalimar Bagh, New Delhi – 110, Tel.: +91 11 4530 2222, Fax: +91 11 453, Email: rajeev.nayyar@fortishealthcare.c, Primus Super Speciality Hospital,, 2, Chandragupta Marg, Chanakyapuri","+91 11 4530 2222,; +91 11 4530 2211        (",contactus.escorts@fortishealthcare.com; fehi@fortishealthcare.com; rajeev.nayyar@fortishealthcare.com,(OPD & Indoor) are.com 088 Total facilities of the hospital 0 2211 (OPD & Indoor) om,06.01.2017,
381,New Delhi,Primus Super Speciality Hospital,"Tel.: +91 11 4530 2222, Fax: +91 11 453, Email: rajeev.nayyar@fortishealthcare.c, 2, Chandragupta Marg, Chanakyapuri,, New Delhi-110021, Ph.: 011-66206630, 66206640, Fax: 011-6, Email: info@primushospital.com, Venkateswar Hospital","+91 11 4530 2222,; +91 11 4530 2211        (; 011-66206630, 66206640,; 011-66206650",info@primushospital.com; rajeev.nayyar@fortishealthcare.com,0 2211 (OPD & Indoor) om Total facilities of the hospital (OPD & Indoor) 6206650,06.08.2017,
382,New Delhi,Venkateswar Hospital,"Ph.: 011-66206630, 66206640, Fax: 011-6, Email: info@primushospital.com, Sector 18A, Dwarka New Delhi-110075, Ph.: 011-4855 5555/Fax 011-66206650, Email info@venkateshwarhospital.com, Indian Spinal Injuries Centre,, Sector-c Vasant Kumj, New Delhi-110070","011-66206630, 66206640,; 011-66206650; 011-4855 5555/; 011-66206650                        (",info@venkateshwarhospital.com; info@primushospital.com,(OPD & Indoor) 6206650 Total facilities of the hospital (OPD & Indoor),25.05.2018,
383,New Delhi,Indian Spinal Injuries Centre,"Ph.: 011-4855 5555/Fax 011-66206650, Email info@venkateshwarhospital.com, Sector-c Vasant Kumj, New Delhi-110070, Ph.: 0114225 5225, 42255303, 42255390,, 42255371 Fax.: 011-26898810/9147, Email info@isiconline.org, Centre For Sight - Dwarka,, (A unit of New Delhi Centre For Sight L","011-4855 5555/; 011-66206650                        (; 0114225 5225, 42255303, 42255390,                                                25; 011-26898810/9147",info@venkateshwarhospital.com; info@isiconline.org,(OPD & Indoor) Total facilities of the hospital (OPD & Indoor) td.) Acceptable for,25.09.2018,
384,New Delhi,Centre For Sight - Dwarka,"42255371 Fax.: 011-26898810/9147, Email info@isiconline.org, (A unit of New Delhi Centre For Sight L, Plot No. 9, Sector 9, Dwarka,, Southwest Delhi, Delhi. PIN- 110077, Eye 7 Hospital Pvt. Ltd., 34 Ground Floor, Main Ring Road",011-26898810/9147,info@isiconline.org,(OPD & Indoor) td.) Acceptable for Ophthalmology Services Only (OPD & Indoor) Single Speciality –,19.04.2023,
385,New Delhi,Eye 7 Hospital Pvt. Ltd.,"34 Ground Floor, Main Ring Road,, Lajpat Nagar-IV, New Delhi., PIN-110024, Chaudhary Eye Centre & Laser Vision., 4802/24 Bharat Ram Road",,,Single Speciality – Ophthalmology (EYE) (OPD & Indoor) Acceptable for,15.02.2024,
386,New Delhi,Chaudhary Eye Centre & Laser Vision.,"PIN-110024, 4802/24 Bharat Ram Road,, Daryaganj, New Delhi., PIN-110002, Aakash Healthcare Super Specialty Hospi, Hospital Plot, Road No. 201, Sec-3, Dwa",,,"(OPD & Indoor) Acceptable for Ophthalmology Services Only (OPD & Indoor) tal, rka, New",15.02.2024,
387,New Delhi,Aakash Healthcare Super Specialty Hospi,"PIN-110002, Hospital Plot, Road No. 201, Sec-3, Dwa, Delhi-110075, Max Super Speciality Hospital, Dwarka",,,"Only (OPD & Indoor) tal, rka, New Total facilities of hospital (OPD & Indoor)",18.02.2025,
388,New Delhi,"Max Super Speciality Hospital, Dwarka","(A Unit of Muthoot Hospitals Pvt Ltd),, Sector-10, Dwarka, New Delhi-110075, Goodwill Hospital & Research Centre Lim, D-141, Sector-40, Noida-201303, Tel: 0120-2500611, 2500711,4635777, Fax:- 0120-4340170,4635700, E-Mail: info@ojjus.org, ICARE Eye Hospital & Post Graduate Inst, E-4A, Sector – 26, Noida – 201301.","0120-2500611, 2500711,4635777                     (; 0120-4340170,4635700",info@ojjus.org,"(OPD & Indoor) Plot No. 1, Total facilities of hospital (OPD & Indoor) ited Total facilities of hospital (OPD & Indoor) except gamma knife Surgery itute",16.07.2025,
390,Noida,Goodwill Hospital & Research Centre Lim,"D-141, Sector-40, Noida-201303, Tel: 0120-2500611, 2500711,4635777, Fax:- 0120-4340170,4635700, E-Mail: info@ojjus.org, ICARE Eye Hospital & Post Graduate Inst, E-4A, Sector – 26, Noida – 201301., Tel: 0120-2477600/30, 2535782, 2536612,, Fax: 0120 – 2556389, E-Mail: wecare@icarehospital.org, KAILASH HOSPITAL & HEART INSTITUTE","0120-2500611, 2500711,4635777                     (; 0120-4340170,4635700; 0120-2477600/30, 2535782, 2536612,                                             17; 0120",info@ojjus.org; wecare@icarehospital.org,ited Total facilities of hospital (OPD & Indoor) except gamma knife Surgery itute Acceptable for Eye Services only,17.07.2012,
391,Noida,KAILASH HOSPITAL & HEART INSTITUTE,"Fax: 0120 – 2556389, E-Mail: wecare@icarehospital.org, H-33, Sector 27, NOIDA-201301, Uttar Pr, Ph: 0120-2444444,2445566, FaX:-0120-253, E-mail- khcl@kailashhealthcare.com, METRO HOSPITALS & HEART INSTITUTE","0120; 0120-2444444,2445566,; 0120-2533333            (",wecare@icarehospital.org; khcl@kailashhealthcare.com,only adesh Total facilities of hospital 3333 (OPD & Indoor) Acceptable For Cardiology &,17.07.2012,
392,Noida,METRO HOSPITALS & HEART INSTITUTE,"Ph: 0120-2444444,2445566, FaX:-0120-253, E-mail- khcl@kailashhealthcare.com, X-1, Sector-12 & L-94, Sector-11, Noida, Ph: 0120-2522959,2442666, Fax: 0120-244, E-Mail: info@metrohospitals.com, Bhardwaj Hospital, NH-1, Sector-29, Noida- 201301","0120-2444444,2445566,; 0120-2533333            (; 0120-2522959,2442666,; 0120-2442555,                                        17",info@metrohospitals.com; khcl@kailashhealthcare.com,"3333 (OPD & Indoor) Acceptable For Cardiology & -201301, Cardiac Surgery, Joint 2555, Replacement Surgeries, Renal Transplantation",17.07.2012,
393,Noida,Bhardwaj Hospital,"E-Mail: info@metrohospitals.com, NH-1, Sector-29, Noida- 201301, Ph:- 09811666123 , 0120-2450111/222/333, Fax- 0120-2451991, E-mail:- bharadwajhospitalnoida@gmail.c, Eye Health Clinic, KO-12/12A, 2nd Floor, Near Hanuman Mand","09811666123 , 0120-2450111/222/333                                             18; 0120-2451991",bharadwajhospitalnoida@gmail.com; info@metrohospitals.com,"Replacement Surgeries, Renal Transplantation Total facilities of hospital (OPD & Indoor) om ir,",18.06.2014,
394,Noida,Eye Health Clinic,"Fax- 0120-2451991, E-mail:- bharadwajhospitalnoida@gmail.c, KO-12/12A, 2nd Floor, Near Hanuman Mand, Sector 49, NOIDA 201307, U.P., Tel: 0120-422 8662/63, 9871127972, 9811, Email: info@ehc.ai, ehcquality.49@ehc.a, Fortis Hospital","0120-2451991; 0120-422 8662/63, 9871127972, 9811993061                                       12",bharadwajhospitalnoida@gmail.com; info@ehc.ai; ehcquality.49@ehc.ai,"(OPD & Indoor) om ir, Acceptable for Modified on Ophthalmology Services only 993061 i",23.10.2015,
395,Noida,Fortis Hospital,"Tel: 0120-422 8662/63, 9871127972, 9811, Email: info@ehc.ai, ehcquality.49@ehc.a, B-22, Sector-62, NOIDA-201301, U.P., Tel.: 0120 430 0222/ 240 0222, Fax: 012, Email:contactus.noida@fortishealthcare., Felix Healthcare Pvt. Ltd.","0120-422 8662/63, 9871127972, 9811993061                                       12; 0120 430 0222/ 240 0222,; 0120 240 3222    (",info@ehc.ai; contactus.noida@fortishealthcare.com; ehcquality.49@ehc.ai,Ophthalmology Services only 993061 i Total facilities of hospital 0 240 3222 (OPD & Indoor) com,12.05.2025,
396,Noida,Felix Healthcare Pvt. Ltd.,"Tel.: 0120 430 0222/ 240 0222, Fax: 012, Email:contactus.noida@fortishealthcare., NH-1, Sector – 137, Expressway, NOIDA –, Ph.: 0120-4255678/ +91-9999568748, Email: felixhospitals@gmail.com, Jaypee Hospital (Jaypee Healthcare Ltd.","0120 430 0222/ 240 0222,; 0120 240 3222    (; 0120-4255678/ +91-9999568748                                                   06",contactus.noida@fortishealthcare.com; felixhospitals@gmail.com,0 240 3222 (OPD & Indoor) com 201305 Total facilities of hospital (OPD & Indoor) ),06.08.2017,
397,Noida,Jaypee Hospital (Jaypee Healthcare Ltd.,"Email: felixhospitals@gmail.com, Sector 128, Noida Uttar Pradesh 201304, Ph.: 0120-4122222 Fax.: 01204582899, Email.: askus@jaypeehealthcare.com, Yatharth Wellness Super Speciality Hosp, Heart Centre, Sec 110, Noida, Gautam Budhh Nagar U P, Contact: 9910290335, Yatharth Wellness Hospital & Trauma Cen",0120-4122222; 01204582899                  (,askus@jaypeehealthcare.com; felixhospitals@gmail.com,"(OPD & Indoor) ) Total facilities of hospital (OPD & Indoor) ital and Total facilities of hospital (OPD & Indoor) Payments to –201304 be made in name of YATHARTH WELLNESS SUPER SPECIALITY HOSPITAL AND HEART CENTRE tre, Total facilities of hospital",25.05.2018,Heart Centre                                         (OPD & Indoor) Payments to
399,Noida,Heart Centre,"Sec 110, Noida, Gautam Budhh Nagar U P, Contact: 9910290335, Yatharth Wellness Hospital & Trauma Cen, NOIDA,, Plot No. 32, Sector-Omega-1, Greater No, Gautam Budhh Nagar, Uttar Pradesh-20130, arvodaya Hospital,, A Unit of Anshu Hospital Limited)., lot No- Pocket-2/G.H-03, Sector-16C",,,"(OPD & Indoor) Payments to –201304 be made in name of YATHARTH WELLNESS SUPER SPECIALITY HOSPITAL AND HEART CENTRE tre, Total facilities of hospital (OPD & Indoor) Payments in ida, Favor of 8 Yatharth Wellness Hospital",10.09.2021,"Heart Centre                                         (OPD & Indoor) Payments to 399.               NOIDA,                                               (OPD & Indoor) Payments in"
400,Noida,arvodaya Hospital,"Plot No. 32, Sector-Omega-1, Greater No, Gautam Budhh Nagar, Uttar Pradesh-20130, A Unit of Anshu Hospital Limited)., lot No- Pocket-2/G.H-03, Sector-16C,, aur City-2, Gautam Buddha Nagar,, reater Noida West, Uttar Pradesh., IN-201301, atharth Super Speciality Hospital, Noida",,,"ida, Favor of 8 Yatharth Wellness Hospital Total facilities of hospital (OPD & Indoor) Extension",15.02.2024,
401,Noida,"atharth Super Speciality Hospital, Noida","reater Noida West, Uttar Pradesh., IN-201301, O-01, Sector 1, Greater Noida,, autam Buddha Nagar-201306, Uttar Pradesh, AHAVIR CANCER SANSTHAN",,,(OPD & Indoor) Extension Total facilities of hospital (OPD & Indoor),29.10.2024,
402,Patna,AHAVIR CANCER SANSTHAN,"autam Buddha Nagar-201306, Uttar Pradesh, hulwari Shariff, Patna-801505,, h:-0612-2260127        Fax: 0612-2253957, UBAN MEMORIAL HOSPITAL/ RATAN STONE, LINIC (A Unit of Ruban Patliputra Hospit, td.)",0612-2260127; 0612-2253957,,(OPD & Indoor) Total facilities of hospital (OPD & Indoor) al Pvt.,06.04.2011,
403,Patna,UBAN MEMORIAL HOSPITAL/ RATAN STONE,"h:-0612-2260127        Fax: 0612-2253957, LINIC (A Unit of Ruban Patliputra Hospit, td.), 9, Patliputra Colony, Patna-13, Bihar, h: 0612-2270059/97, Mob: 8406003102/03, ax: 0612 – 2270016, mail: ruban_hospital@yahoo.co.in/, dmin.corporate@rubanpatliputrahospital.c, aras HMRI Hospital","0612-2260127; 0612-2253957; 0612-2270059/97,; 0612",ruban_hospital@yahoo.co.in; admin.corporate@rubanpatliputrahospital.com,(OPD & Indoor) al Pvt. Total facilities of hospital Modification (OPD & Indoor) w.e.f. om,06.04.2011,
404,Patna,aras HMRI Hospital,"h: 0612-2270059/97, Mob: 8406003102/03, ax: 0612 – 2270016, mail: ruban_hospital@yahoo.co.in/, dmin.corporate@rubanpatliputrahospital.c, ailey Road, Raja Bazar, Patna – 800014, h.: 0612-7107777, mail: infopatna@parashospitals.com, entre For Sight - Patna,, A unit of New Delhi Centre For Sight Ltd, -31, PC Colony, Kankarbagh,, atna, Bihar., IN- 800020, ord Hospital & Research Center Pvt. Ltd.","0612-2270059/97,; 0612; 0612-7107777                                      (",ruban_hospital@yahoo.co.in; admin.corporate@rubanpatliputrahospital.com; infopatna@parashospitals.com,"(OPD & Indoor) w.e.f. om Total facilities of hospital (OPD & Indoor) ), Acceptable for Ophthalmology Services Only (OPD & Indoor) ,",23.10.15,
406,Patna,A unit of New Delhi Centre For Sight Ltd,"mail: infopatna@parashospitals.com, entre For Sight - Patna,, -31, PC Colony, Kankarbagh,, atna, Bihar., IN- 800020, ord Hospital & Research Center Pvt. Ltd., ew Bypass (NH-30), Khemnichak,, S-Ramkrishna Nagar,, atna-800027, Bihar, BMA’S HV DESAI EYE HOSPITAL",,infopatna@parashospitals.com,"), Acceptable for Ophthalmology Services Only (OPD & Indoor) , Total facilities of hospital (OPD & Indoor)",19.04.2023,
407,Patna,BMA’S HV DESAI EYE HOSPITAL,"S-Ramkrishna Nagar,, atna-800027, Bihar, 3, Tarwade Vasti, Mohammadwadi Hadapsar, une-411028          Ph. 020-26970043",020-26970043,,(OPD & Indoor) SINGLE SPECIALTY FOR EYE CARE SERVICES,09.11.2012,
408,Pune,uby Hall Clinic Hospital,"une-411028          Ph. 020-26970043, 0 Sassoon Road, Pune- 411001, ortis O P Jindal Hospital & Research Cen, harsia Road, Raigarh - 496001, Chhattisg",020-26970043,,"CARE SERVICES Total facilities of hospital (OPD & Indoor) tre, arh.",12.05.2025,
409,Raigarh,ortis O P Jindal Hospital & Research Cen,"0 Sassoon Road, Pune- 411001, harsia Road, Raigarh - 496001, Chhattisg, el. +91-7762-227033/ 227034, AX: +91-7762-227021/ 227022, mail: fopjhrc@jspl.com, HRI BALAJI METRO HOSPITAL, A Unit of Raigarh Institute of Medical S",+91-7762-227033/ 227034                                                              06; +91-7762-227021/ 227022,fopjhrc@jspl.com,"(OPD & Indoor) tre, arh. Total facilities of the hospital (OPD & Indoor) cience PVT.",06.06.2016,
410,Raigarh,AX: +91-7762-227021/ 227022,"mail: fopjhrc@jspl.com, HRI BALAJI METRO HOSPITAL, A Unit of Raigarh Institute of Medical S, TD.), ear Pahad Mandir, Kauha Kunda, aigarh, Chattisgarh 496001, pex Super Speciality Hospital & IVF Cent, A Unit of Goyal Institute of Medical Sc",+91-7762-227021/ 227022,fopjhrc@jspl.com,(OPD & Indoor) cience PVT. Total facilities of hospital (OPD & Indoor) re iences Pvt.,08.08.2024,
411,Raigarh,pex Super Speciality Hospital & IVF Cent,"ear Pahad Mandir, Kauha Kunda, aigarh, Chattisgarh 496001, A Unit of Goyal Institute of Medical Sc, td.), Beside RK Multiplex, Atal Chowk, C, ypass Road, Raigarh(C.G)- 496001, ARAYANA HRUDAYALAYA MMI HOSPITALS",,,(OPD & Indoor) re iences Pvt. Total facilities of hospital hatamuda (OPD & Indoor),16.07.2025,
412,Raipur,ARAYANA HRUDAYALAYA MMI HOSPITALS,"ypass Road, Raigarh(C.G)- 496001, hamtari Road, Lalpur, Raipur (CG), h:- 0771-2419001/2/3, FaX:-0771-2412300, -mail:- mmiraipur@gmail.com, YASH INSTITUTE OF MEDICAL SCIENCE PVT. L","0771-2419001/2/3,; 0771-2412300               (",mmiraipur@gmail.com,(OPD & Indoor) Total facilities of hospital (OPD & Indoor) TD.,17.07.2012,
413,Raipur,YASH INSTITUTE OF MEDICAL SCIENCE PVT. L,"h:- 0771-2419001/2/3, FaX:-0771-2412300, -mail:- mmiraipur@gmail.com, ta Gudhiyari Road, Raipur (CG) – 492001, :- 0771-2575275,2575833, mail:- suyashhospital.raipur@gmail.com, MKRISHNA CARE HOSPITAL, robindo Enclave, Pachpedi Naka, Dhamtari","0771-2419001/2/3,; 0771-2412300               (; 0771-2575275,2575833                                                              17",suyashhospital.raipur@gmail.com; mmiraipur@gmail.com,(OPD & Indoor) TD. Total facilities of hospital (OPD & Indoor),17.07.2012,
414,Raipur,MKRISHNA CARE HOSPITAL,"mail:- suyashhospital.raipur@gmail.com, robindo Enclave, Pachpedi Naka, Dhamtari, ad, N.H. 43, Raipur-492001, :- 0771-3003300/01/02/03, FaX:- 0771-400, Mail: sandeepdaveryp@hotmail.com, i Ganesh Vinayak Eye Hospital","0771-3003300/01/02/03,; 0771-4004037,",sandeepdaveryp@hotmail.com; suyashhospital.raipur@gmail.com,"(OPD & Indoor) Total facilities of hospital (OPD & Indoor) 4037,",17.07.2012,
415,Raipur,i Ganesh Vinayak Eye Hospital,":- 0771-3003300/01/02/03, FaX:- 0771-400, Mail: sandeepdaveryp@hotmail.com, nchpudi Naka, Raipur (CG), . No. 0771 4031095, ree Narayana Hospital, ar Ganj Mandi, Behind Sector-5, Devendra","0771-3003300/01/02/03,; 0771-4004037,",sandeepdaveryp@hotmail.com,"(OPD & Indoor) 4037, Single specialty (eye) (OPD & Indoor)",23.12.2014,
416,Raipur,ree Narayana Hospital,". No. 0771 4031095, ar Ganj Mandi, Behind Sector-5, Devendra, gar, Pandri, Raipur-492001,, : 0771-4218333,, Mail: dr.sunilkhemka@gmail.com, ri Balaji Super Speciality Hospital","0771-4218333,",dr.sunilkhemka@gmail.com,Indoor) Total facilities of hospital (OPD & Indoor),17.07.2012,
417,Raipur,ri Balaji Super Speciality Hospital,": 0771-4218333,, Mail: dr.sunilkhemka@gmail.com, bey Colony, Mowa, Raipur( C .G.), NO. :0771- 4241000/01/02, FAX NO: 42410, AIL: sbsh@gmail.com, ri Medishine Hospital","0771-4218333,",sbsh@gmail.com; dr.sunilkhemka@gmail.com,(OPD & Indoor) Total facilities of hospital 99 (OPD & Indoor),11.11.2013,
418,Raipur,"NO. :0771- 4241000/01/02, FAX NO: 42410","AIL: sbsh@gmail.com, ri Medishine Hospital, w Rajendra Nagar,Amlidih, Raipur-492001,, NO. :0771- 4222999/4229909, FAX: - 4222, AIL: medishine.health@gmail.com, lda Cosmetic Surgery & Burn Centre, p. R.K.C. Main Gate, G.E.Road, Choubey C, ipur, ( C.G.), NO. :0771- 2259800/2254040, AIL: sunilkalda@rediffmail.com, njeevani CBCC –USA Cancer Hospital, front of Jain Mandir, Near Pachpedi Naka",4222987                                          11,sunilkalda@rediffmail.com; medishine.health@gmail.com; sbsh@gmail.com,"99 (OPD & Indoor) CG. Total facilities of hospital 987 (OPD & Indoor) olony, Single Speciality for PLASTIC Surgery and Burn Treatment , Dawda",11.11.2013,
420,Raipur,lda Cosmetic Surgery & Burn Centre,"p. R.K.C. Main Gate, G.E.Road, Choubey C, ipur, ( C.G.), NO. :0771- 2259800/2254040, AIL: sunilkalda@rediffmail.com, njeevani CBCC –USA Cancer Hospital, front of Jain Mandir, Near Pachpedi Naka, lony, Raipur, Chattisgarh -492001, NO. :0771- 4061010, AIL: info@sanjeevanicbccusa.com, ttal Institute of Medical Science",,info@sanjeevanicbccusa.com; sunilkalda@rediffmail.com,"olony, Single Speciality for PLASTIC Surgery and Burn Treatment , Dawda Single Speciality for Cancer Treatment",11.11.2013,
421,Raipur,NO. :0771- 4061010,"AIL: info@sanjeevanicbccusa.com, ttal Institute of Medical Science, p. Holycross Kapa School, Avanti Bai Cho, ndri, Raipur(CG), Tel: 0771-401 4442/ 40, ail: mims.raipura@gmail.com, M Eye Institute (A project of Miki Memor, ust), 5th Mile, Vidhan Sabha Road, Raipu",0771-401 4442/ 409 4443    (,info@sanjeevanicbccusa.com; mims.raipura@gmail.com,"Treatment wk, Total facilities of the hospital 9 4443 (OPD & Indoor) ial r,",23.10.2015,
422,Raipur,M Eye Institute (A project of Miki Memor,"ndri, Raipur(CG), Tel: 0771-401 4442/ 40, ail: mims.raipura@gmail.com, ust), 5th Mile, Vidhan Sabha Road, Raipu, hattisgarh-493111, l.: +91 771 2970670/ 671/ 672, x: 0771 2284774, ail: info@mgmeye.org, Hospital",0771-401 4442/ 409 4443    (; +91 771 2970670/ 671/ 672                     (; 0771 2284774,mims.raipura@gmail.com; info@mgmeye.org,"9 4443 (OPD & Indoor) ial r, Single specialty (Eye) (OPD & Indoor)",06.04.2017,
423,Raipur,Hospital,"l.: +91 771 2970670/ 671/ 672, x: 0771 2284774, ail: info@mgmeye.org, jacent to Kamal Vihar(Sector-12) New Dha, ad Raipur,-492001 Raipur Chattisgarh, . 0771-6622222 Fax: 0771-6622200, lco Medical Centre,, unit of Vedanta Medical Research Foundat",+91 771 2970670/ 671/ 672                     (; 0771 2284774; 0771-6622222; 0771-6622200,info@mgmeye.org,(OPD & Indoor) mtari Total facilities of the hospital (OPD & Indoor) For Oncology Services (OPD & ion Indoor)Payment to be made,25.09.2018,Indoor)Payment to be made
424,Raipur,lco Medical Centre,"ad Raipur,-492001 Raipur Chattisgarh, . 0771-6622222 Fax: 0771-6622200, unit of Vedanta Medical Research Foundat, ctor 36, Atal Nagar (Naya Raipur), P. O., arwara, Raipur, PIN: 493661, . 0771-2237575, w.balcomedicalcentre.com, ree Retina Care, HIG-28",0771-6622222; 0771-6622200; 0771-2237575,,(OPD & Indoor) For Oncology Services (OPD & ion Indoor)Payment to be made in favor of VEDANTA MEDICAL RESEARCH FOUNDATION,10.09.2021,Indoor)Payment to be made Raipur                                                       in favor of VEDANTA                10.09.2021
425,Raipur,"ree Retina Care, HIG-28","arwara, Raipur, PIN: 493661, . 0771-2237575, w.balcomedicalcentre.com, in Road Shankar Nagar,, ipur, 492007, Chattisgarh, Care Superspeciality Hospital,, B Plaza, Beside of Airtel Office",0771-2237575,,MEDICAL RESEARCH FOUNDATION For Ophthalmology Services Only (OPD & Indoor),15.06.2022,
426,Raipur,Care Superspeciality Hospital,"B Plaza, Beside of Airtel Office,, ng Road No 01, Telibandha,, ipur, Chhattisgarh., N- 492001, G Eye Hospital, Pvt. Ltd.",,,Only (OPD & Indoor) Total facilities of hospital (OPD & Indoor),19.04.2023,
427,Raipur,"G Eye Hospital, Pvt. Ltd.","ipur, Chhattisgarh., N- 492001, dan Complex,, akti Nagar Road, Shankar Nagar, ipur, Chattisgarh, 492001, tals Newborn & Children Hospital",,,(OPD & Indoor) For Ophthalmology Services Only (OPD & Indoor),08.08.2023,
428,Raipur,tals Newborn & Children Hospital,"ipur, Chattisgarh, 492001, eemsen Bhawan Marg, Samta Colony,, ipur, Chattisgarh, 492001, mila Memorial Hospital.",,,Only (OPD & Indoor) For Neonatal and Paediatric Services Only,03.10.2023,
429,Raipur,mila Memorial Hospital.,"ipur, Chattisgarh, 492001, har Road, Bhatagaon,, ipur, Chhattisgarh., N-492001, rogya Hospital,, p. G. T. Heights, Shankar Nagar, Raipur",,,Services Only Total facilities of hospital (OPD & Indoor),15.02.2024,
430,Raipur,rogya Hospital,"ipur, Chhattisgarh., N-492001, p. G. T. Heights, Shankar Nagar, Raipur, attisgarh,m 492001, C Heart Institute And IVF Research Centr",,,"(OPD & Indoor) Total facilities of hospital (OPD & Indoor) e,",29.10.2024,
431,Raipur,C Heart Institute And IVF Research Centr,"P Estate, Vidhan Sabha Road Shankar Naga, ipur, PIN- 492007, Hospital, Near H.P Petrol Pump, Mahadev",,,"(OPD & Indoor) e, r, For Cardiac Services Only Total facilities of hospital",18.02.2025,
432,Raipur,"Hospital, Near H.P Petrol Pump, Mahadev","ipur, PIN- 492007, at Road, Raipura Chowk, Raipur (C.G) - 4, lda Burn And Plastic Surgery Centre, Nea, lours Mall, Pachpedinaka, Dhamtari Road,, ipur (C.G.)-492001, AM HOSPITALS& RESEARCH CENTRE PVT. LTD",,,Total facilities of hospital 92013 (OPD & Indoor) r Total facilities of hospital (OPD & Indoor),08.10.2025,
434,Raipur,"lda Burn And Plastic Surgery Centre, Nea","lours Mall, Pachpedinaka, Dhamtari Road,, ipur (C.G.)-492001, AM HOSPITALS& RESEARCH CENTRE PVT. LTD, oty Road, Bariatu, Ranchi-834009,, :- 0651-2540207,2540222,6450575, X:- 0651-2546567, J HOSPITALS, in Road, Ranchi-834001","0651-2540207,2540222,6450575                  (; 0651-2546567",,r Total facilities of hospital (OPD & Indoor) Total facilities of hospital (OPD & Indoor),08.10.2025,
435,Ranchi,X:- 0651-2546567,":- 0651-2540207,2540222,6450575, J HOSPITALS, in Road, Ranchi-834001,, : 0651-2331128,2330129, x: 0651-2330499, Mail: rch_rajhosp@sancharnet.in, NI HOSPITAL (A UNIT OF, NICHILDRENHOSPITAL& RESEARCH CENTRE PVT.","0651-2540207,2540222,6450575                  (; 0651-2546567; 0651-2331128,2330129; 0651-2330499                                                                  11",rch_rajhosp@sancharnet.in,(OPD & Indoor) Total facilities of hospital modified on (OPD & Indoor),02.04.2011,
